# Walk-forward block-bootstrap CVaR_95 (paired vs LSTM)

## SPY / covid_2020  (n=30, L=3, seeds=['42', '142', '242', '342', '442'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| LSTM | 44.74 | [32.83, 57.60] | — | — | — |
| 3SCH | 45.01 | [31.88, 59.29] | +0.6% | [-10.2%, +5.3%] | 0.35 |
| RSE | 29.88 | [26.07, 33.46] | -33.2% | [-41.9%, -15.7%] | 1.00 |
| WDROT | 53.00 | [33.06, 68.71] | +18.5% | [-16.7%, +57.8%] | 0.29 |

## SPY / post_covid_2021  (n=220, L=6, seeds=['42', '142', '242', '342', '442'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| LSTM | 11.86 | [10.69, 12.55] | — | — | — |
| 3SCH | 11.91 | [10.79, 12.79] | +0.4% | [-5.6%, +5.8%] | 0.33 |
| RSE | 12.01 | [10.92, 12.80] | +1.3% | [-6.5%, +10.7%] | 0.39 |
| WDROT | 11.45 | [10.36, 12.23] | -3.4% | [-13.4%, +8.4%] | 0.72 |

## SPY / gfc_2008  (n=472, L=8, seeds=['42', '142', '242', '342', '442'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| LSTM | 13.22 | [7.27, 15.88] | — | — | — |
| 3SCH | 13.00 | [7.01, 16.44] | -1.6% | [-12.7%, +4.7%] | 0.59 |
| RSE | 11.23 | [6.86, 13.20] | -15.1% | [-26.3%, +6.4%] | 0.94 |
| WDROT | 10.12 | [6.04, 11.94] | -23.5% | [-39.8%, -4.0%] | 0.99 |

## NIFTY / covid_2020  (n=26, L=3, seeds=['42', '142', '242', '342', '442'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| LSTM | 1310.27 | [978.70, 1733.63] | — | — | — |
| 3SCH | 1300.12 | [987.18, 1463.99] | -0.8% | [-18.8%, +11.0%] | 0.39 |
| RSE | 1248.57 | [1054.99, 1422.67] | -4.7% | [-32.0%, +22.7%] | 0.49 |
| WDROT | 1161.76 | [879.44, 1312.84] | -11.3% | [-37.3%, +12.4%] | 0.69 |

## NIFTY / gfc_2008  (n=402, L=7, seeds=['42', '142', '242', '342', '442'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| LSTM | 676.94 | [494.84, 834.00] | — | — | — |
| 3SCH | 676.86 | [507.93, 776.51] | -0.0% | [-8.6%, +12.0%] | 0.57 |
| RSE | 699.83 | [579.11, 783.68] | +3.4% | [-11.2%, +30.1%] | 0.32 |
| WDROT | 600.43 | [447.98, 709.11] | -11.3% | [-33.1%, +5.6%] | 0.88 |


[bootstrap] wrote walk_forward_ci_bootstrap.json
