# Walk-forward block-bootstrap CVaR_95 (paired vs LSTM)

## SPY / covid_2020  (n=30, L=3, seeds=['42', '142', '242'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| RSE_K0.0 | 31.97 | [26.36, 36.88] | — | — | — |
| RSE_K0.6 | 31.24 | [26.29, 37.21] | -2.3% | [-5.1%, +1.9%] | 0.81 |
| RSE_K1.0 | 31.22 | [25.45, 38.59] | -2.4% | [-11.0%, +4.6%] | 0.68 |

## SPY / post_covid_2021  (n=220, L=6, seeds=['42', '142', '242'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| RSE_K0.0 | 11.95 | [10.60, 12.92] | — | — | — |
| RSE_K0.6 | 11.97 | [10.66, 12.94] | +0.1% | [-2.0%, +2.6%] | 0.38 |
| RSE_K1.0 | 12.48 | [10.94, 13.40] | +4.4% | [+0.4%, +8.6%] | 0.02 |

## SPY / gfc_2008  (n=472, L=8, seeds=['42', '142', '242'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| RSE_K0.0 | 11.37 | [6.86, 13.30] | — | — | — |
| RSE_K0.6 | 11.34 | [6.90, 13.29] | -0.2% | [-2.3%, +2.1%] | 0.57 |
| RSE_K1.0 | 11.42 | [6.83, 13.26] | +0.4% | [-3.4%, +2.7%] | 0.45 |

## NIFTY / covid_2020  (n=26, L=3, seeds=['42', '142', '242'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| RSE_K0.0 | 1285.20 | [1112.21, 1422.67] | — | — | — |
| RSE_K0.6 | 1307.06 | [1099.60, 1503.24] | +1.7% | [-6.3%, +5.7%] | 0.40 |
| RSE_K1.0 | 1302.47 | [1099.72, 1431.34] | +1.3% | [-6.3%, +4.8%] | 0.42 |

## NIFTY / gfc_2008  (n=402, L=7, seeds=['42', '142', '242'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| RSE_K0.0 | 705.05 | [594.79, 766.30] | — | — | — |
| RSE_K0.6 | 717.60 | [596.61, 788.38] | +1.8% | [-1.1%, +4.4%] | 0.12 |
| RSE_K1.0 | 704.94 | [581.89, 773.41] | -0.0% | [-4.1%, +2.6%] | 0.62 |


[bootstrap] wrote wf_band_bootstrap.json
