# Walk-forward block-bootstrap CVaR_95 (paired vs LSTM)

## SPY__to__NIFTY / covid_2020  (n=26, L=3, seeds=['42', '142', '242'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| LSTM | 1393.67 | [1070.41, 1641.57] | — | — | — |
| 3SCH | 1361.08 | [965.12, 1582.13] | -2.3% | [-14.3%, +18.6%] | 0.67 |
| RSE | 1038.01 | [864.27, 1126.55] | -25.5% | [-37.7%, +0.2%] | 0.97 |
| WDROT | 1869.73 | [1565.83, 2112.02] | +34.2% | [+9.3%, +82.3%] | 0.00 |

## SPY__to__NIFTY / gfc_2008  (n=402, L=7, seeds=['42', '142', '242'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| LSTM | 658.38 | [477.50, 802.37] | — | — | — |
| 3SCH | 660.41 | [478.93, 807.85] | +0.3% | [-10.2%, +15.5%] | 0.67 |
| RSE | 522.35 | [417.65, 589.55] | -20.7% | [-34.0%, +4.3%] | 0.95 |
| WDROT | 617.29 | [503.42, 718.40] | -6.2% | [-23.1%, +26.7%] | 0.64 |

## NIFTY__to__SPY / covid_2020  (n=30, L=3, seeds=['42', '142', '242'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| LSTM | 39.42 | [31.57, 46.64] | — | — | — |
| 3SCH | 40.02 | [33.62, 45.67] | +1.5% | [-6.6%, +9.7%] | 0.36 |
| RSE | 41.10 | [32.04, 48.73] | +4.3% | [-5.5%, +17.9%] | 0.35 |
| WDROT | 30.76 | [25.16, 35.47] | -22.0% | [-41.0%, +5.2%] | 0.87 |

## NIFTY__to__SPY / post_covid_2021  (n=220, L=6, seeds=['42', '142', '242'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| LSTM | 10.14 | [8.96, 10.96] | — | — | — |
| 3SCH | 10.20 | [9.11, 10.76] | +0.6% | [-7.3%, +10.2%] | 0.59 |
| RSE | 10.24 | [9.13, 10.72] | +1.0% | [-6.6%, +8.1%] | 0.42 |
| WDROT | 10.92 | [9.73, 11.36] | +7.7% | [-1.7%, +18.0%] | 0.14 |

## NIFTY__to__SPY / gfc_2008  (n=472, L=8, seeds=['42', '142', '242'])

| model | CVaR95 | CVaR95 95% CI | ΔCVaR% vs LSTM | ΔCVaR% 95% CI | P(improve) |
|---|---:|---|---:|---|---:|
| LSTM | 12.97 | [7.61, 16.09] | — | — | — |
| 3SCH | 13.38 | [8.03, 15.43] | +3.2% | [-5.8%, +10.4%] | 0.33 |
| RSE | 15.30 | [8.96, 18.16] | +18.0% | [+2.4%, +32.9%] | 0.01 |
| WDROT | 9.34 | [6.39, 10.13] | -28.0% | [-43.6%, -10.9%] | 1.00 |


[bootstrap] wrote wf_cross_market_bootstrap.json
